date,close,close_t1,close_t2,close_t3,re
2019/7/3,11100,11040,11240,11245,43.03328136
2019/7/4,11035,11100,11040,11240,-64.71138299
2019/7/5,11160,11035,11100,11040,115.4378671
2019/7/8,11125,11160,11035,11100,-30.62780323
2019/7/9,10650,11125,11160,11035,-487.6349571
2019/7/10,10330,10650,11125,11160,-363.9979675
2019/7/11,10600,10330,10650,11125,218.2390233
2019/7/12,10600,10600,10330,10650,2.967850625
2019/7/15,10450,10600,10600,10330,-131.7208434
2019/7/16,10385,10450,10600,10600,-76.93494811
2019/7/17,10450,10385,10450,10600,29.50235817
2019/7/18,10565,10450,10385,10450,100.45637
2019/7/19,10600,10565,10450,10385,32.6122509
2019/7/22,10580,10600,10565,10450,-29.96909494
2019/7/23,10640,10580,10600,10565,38.56369244
2019/7/24,10585,10640,10580,10600,-74.84030228
2019/7/25,10760,10585,10640,10580,153.6003674
2019/7/26,10710,10760,10585,10640,-56.30604714
2019/7/29,10535,10710,10760,10585,-191.9972574
2019/7/30,10570,10535,10710,10760,6.567223084
2019/7/31,10570,10570,10535,10710,-25.32453497
2019/8/1,10500,10570,10570,10535,-81.35011997
2019/8/2,10255,10500,10570,10570,-258.0662038
2019/8/5,10140,10255,10500,10570,-150.5361123
2019/8/6,10355,10140,10255,10500,185.0372652
2019/8/7,10350,10355,10140,10255,-5.562466571
2019/8/8,10515,10350,10355,10140,164.303942
2019/8/9,10465,10515,10350,10355,-54.05050088
2019/8/12,10410,10465,10515,10350,-82.63418819
2019/8/13,10315,10410,10465,10515,-121.8127008
2019/8/14,10315,10315,10410,10465,-34.25960389
2019/8/15,10300,10315,10315,10410,-33.29618365
2019/8/16,10370,10300,10315,10315,55.01772608
2019/8/19,10545,10370,10300,10315,165.9612677
2019/8/20,10495,10545,10370,10300,-54.12161934
2019/8/21,10375,10495,10545,10370,-137.7943696
2019/8/22,10385,10375,10495,10545,-23.38168781
2019/8/23,10355,10385,10375,10495,-58.69624664
2019/8/26,10440,10355,10385,10375,68.10563574
2019/8/27,10460,10440,10355,10385,12.59184171
2019/8/28,10585,10460,10440,10355,111.3109368
2019/8/29,10555,10585,10460,10440,-38.39118605
2019/8/30,10675,10555,10585,10460,98.79952304
2019/9/2,10660,10675,10555,10585,-28.39336994
2019/9/3,10865,10660,10675,10555,184.0906571
2019/9/4,11070,10865,10660,10675,201.2374475
2019/9/5,11040,11070,10865,10660,-32.19211767
2019/9/6,10920,11040,11070,10865,-133.9395409
2019/9/9,11110,10920,11040,11070,155.0305121
2019/9/10,11045,11110,10920,11040,-78.78033059
2019/9/11,11070,11045,11110,10920,14.49626919
2019/9/12,11030,11070,11045,11110,-48.88805038
2019/9/16,11130,11030,11070,11045,78.82510083
2019/9/17,11135,11130,11030,11070,0.981160366
2019/9/18,11110,11135,11130,11030,-35.1058058
2019/9/19,11085,11110,11135,11130,-37.98028747
2019/9/20,11010,11085,11110,11135,-93.5741693
2019/9/23,11030,11010,11085,11110,2.045871994
2019/9/24,11075,11030,11010,11085,33.90424071
2019/9/25,11020,11075,11030,11010,-61.25378395
2019/9/26,10930,11020,11075,11030,-101.1008209
2019/9/27,10445,10930,11020,11075,-505.9117774
2019/9/30,10650,10445,10930,11020,155.8680143
2019/10/8,10555,10650,10445,10930,-103.5560553
2019/10/9,10570,10555,10650,10445,9.625004149
2019/10/10,10550,10570,10555,10650,-15.720969
2019/10/11,10600,10550,10570,10555,26.76068072
2019/10/14,10600,10600,10550,10570,-10.14688424
2019/10/15,10600,10600,10600,10550,-16.80283782
2019/10/16,10720,10600,10600,10600,102.6919892
2019/10/17,10735,10720,10600,10600,4.334330709
2019/10/18,10910,10735,10720,10600,162.3001717
2019/10/21,10870,10910,10735,10720,-45.32864574
2019/10/22,10965,10870,10910,10735,75.42912385
2019/10/23,10990,10965,10870,10910,12.16900038
2019/10/24,10950,10990,10965,10870,-58.20794052
2019/10/25,10970,10950,10990,10965,4.24860197
2019/10/28,10840,10970,10950,10990,-147.5376948
2019/10/29,10910,10840,10970,10950,47.82776532
2019/10/30,11075,10910,10840,10970,155.0231075
2019/10/31,11115,11075,10910,10840,40.45067683
2019/11/1,11015,11115,11075,10910,-100.9421072
2019/11/4,10980,11015,11115,11075,-58.51055053
2019/11/5,11240,10980,11015,11115,233.801882
2019/11/6,11160,11240,10980,11015,-77.61646275
2019/11/7,11140,11160,11240,10980,-26.47562162
2019/11/8,11015,11140,11160,11240,-140.9697065
2019/11/11,10995,11015,11140,11160,-51.15334535
2019/11/12,10910,10995,11015,11140,-98.29285072
2019/11/13,11000,10910,10995,11015,74.21105757
2019/11/14,11275,11000,10910,10995,273.2801933
2019/11/15,10965,11275,11000,10910,-298.7349666
2019/11/18,12100,10965,11275,11000,1111.5043
2019/11/19,12130,12100,10965,11275,78.88729969
2019/11/20,12530,12130,12100,10965,409.7888062
2019/11/21,12595,12530,12130,12100,83.15780257
2019/11/22,12625,12595,12530,12130,-14.32843156
2019/11/25,12800,12625,12595,12530,165.1075711
2019/11/26,12585,12800,12625,12595,-223.7668541
2019/11/27,12505,12585,12800,12625,-92.86569916
2019/11/28,12475,12505,12585,12800,-40.05918822
2019/11/29,12380,12475,12505,12585,-101.3656705
2019/12/2,12400,12380,12475,12505,26.42595138
2019/12/3,12470,12400,12380,12475,75.6848794
2019/12/4,12575,12470,12400,12380,114.5687945
2019/12/5,12900,12575,12470,12400,338.8644688
2019/12/6,12950,12900,12575,12470,73.12429605
2019/12/9,12865,12950,12900,12575,-77.14267761
2019/12/10,12905,12865,12950,12900,28.20394795
2019/12/11,12945,12905,12865,12950,27.07661056
2019/12/12,12940,12945,12905,12865,0.019988487
2019/12/13,12810,12940,12945,12905,-121.3585059
2019/12/16,12760,12810,12940,12945,-55.18056468
2019/12/17,12925,12760,12810,12940,162.2032642
2019/12/18,12730,12925,12760,12810,-178.8767524
2019/12/19,12465,12730,12925,12760,-263.0058832
2019/12/20,12510,12465,12730,12925,27.32932973
2019/12/23,12400,12510,12465,12730,-115.1788478
2019/12/24,12495,12400,12510,12465,102.9894648
2019/12/25,12500,12495,12400,12510,22.86195879
2019/12/26,12485,12500,12495,12400,-10.25623963
2019/12/27,12505,12485,12500,12495,24.15424461
2019/12/30,12650,12505,12485,12500,141.7640155
2019/12/31,12640,12650,12505,12485,0.060322349
2020/1/2,12500,12640,12650,12505,-135.7894895
2020/1/3,12495,12500,12640,12650,-16.02390067
2020/1/6,12735,12495,12500,12640,231.1935133
2020/1/7,12820,12735,12495,12500,104.2269502
2020/1/8,12825,12820,12735,12495,25.17248097
2020/1/9,12640,12825,12820,12735,-182.105303
2020/1/10,12715,12640,12825,12820,53.43300319
2020/1/13,12910,12715,12640,12825,192.9803918
2020/1/14,12930,12910,12715,12640,39.24701636
2020/1/15,12800,12930,12910,12715,-112.2625885
2020/1/16,13040,12800,12930,12910,231.1260893
2020/1/17,12965,13040,12800,12930,-67.40943342
2020/1/20,12785,12965,13040,12800,-175.1857001
2020/1/21,12525,12785,12965,13040,-266.7099689
2020/1/22,12270,12525,12785,12965,-281.7167851
2020/1/23,12060,12270,12525,12785,-224.1871009
2020/2/3,10990,12060,12270,12525,-1075.748109
